US-xDJ,0.75,0.9,6,2019,2024,0.26,0.74,0.91,0.91,0.92,0.78,US-xDJ,NEON Delta Junction (DEJU),ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",Cold,63.8811,-145.7514,529,300,-2,,,,0.753333333
US-xRM,0.86,0.9,6,2019,2024,0.85,0.83,0.86,0.92,0.84,0.86,US-xRM,"NEON Rocky Mountain National Park, CASTNET (RMNP)",ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",Cold,40.2759,-105.5459,2743,730.59,2.9,,,,0.86
US-xSB,0.78,0.88,6,2019,2024,0.5,0.81,0.85,0.78,0.84,0.91,US-xSB,NEON Ordway-Swisher Biological Station (OSBS),ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",Temperate,29.6893,-81.9934,45,1302.09,20.9,,,,0.781666667
US-xWR,0.64,0.71,6,2019,2024,0.66,0.75,0.55,0.54,0.65,0.72,US-xWR,NEON Wind River Experimental Forest (WREF),ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csb,"Mediterranean: mild with dry, warm summer",Cold,45.8205,-121.9519,407,2225.01,9.2,,,,0.645
US-xDC,0.71,0.86,6,2019,2024,0.87,0.85,0,0.84,0.85,0.86,US-xDC,NEON Dakota Coteau Field School (DCFS),GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,47.1617,-99.1066,559,489.74,4.9,,,,0.711666667
US-xKZ,0.88,0.9,6,2019,2024,0.86,0.93,0.85,0.88,0.85,0.91,US-xKZ,NEON Konza Prairie Biological Station (KONZ),GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",Cold,39.1008,-96.5631,381,870.38,12.4,,,,0.88
US-xNG,0.52,0.87,6,2019,2024,0.91,-0.38,-0.09,0.88,0.92,0.91,US-xNG,NEON Northern Great Plains Research Laboratory (NOGP),GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,46.7697,-100.9154,578,456.51,5.9,,,,0.525
US-xWD,0.6,0.79,6,2019,2024,0.79,0.7,-0.25,0.74,0.75,0.88,US-xWD,NEON Woodworth (WOOD),GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,47.1282,-99.2414,579,493.76,4.9,,,,0.601666667
site_ID,mean_r2_test,mean_r2_train,n_years,start_year,end_year,2019_test_r2,2020_test_r2,2021_test_r2,2022_test_r2,2023_test_r2,2024_test_r2,Site ID,Name,IGBP,IGBP description,koppen,koppen description,koppen_main_name,Latitude,Longitude,Elevation,Mean Average Precipitation (mm),Mean Average Temperature (degrees C),,,,
US-xDL,0.75,0.86,6,2019,2024,0.43,0.69,0.88,0.85,0.82,0.8,US-xDL,NEON Dead Lake (DELA),MF,Mixed Forests: Lands dominated by trees with a percent cover >60% and height exceeding 2 meters.  Consists of tree communities with interspersed mixtures or mosaics of the other four forest types.  None of the forest types exceeds 60% of landscape.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",Temperate,32.5417,-87.8039,22,1372,17.6,,,,0.745
US-xUN,0.89,0.91,6,2019,2024,0.93,0.93,0.86,0.88,0.89,0.83,US-xUN,NEON University of Notre Dame Environmental Research Center (UNDE),MF,Mixed Forests: Lands dominated by trees with a percent cover >60% and height exceeding 2 meters.  Consists of tree communities with interspersed mixtures or mosaics of the other four forest types.  None of the forest types exceeds 60% of landscape.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,46.2339,-89.5373,518,802.3,4.3,,,,0.886666667
US-xTL,0.63,0.73,5,2019,2024,0.73,,0.8,0.28,0.56,0.79,US-xTL,NEON Toolik (TOOL),WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",ET,Tundra,Cold,68.6611,-149.3705,843,331,-4,,,,0.632
